"Video_id","Video_title","Published_at","Duration","Video_type","View_count","Like_count","Comment_count"
mwKJfNYwvm8,I Built 100 Wells In Africa,2023-11-04 16:00:00.000,00:10:30,Normal,268685404,10447202,215254
fuhE6PYnRMc,Train Vs Giant Pit,2023-07-08 16:00:00.000,00:10:36,Normal,305810110,6660208,129395
ykRq_rp7NhM,I Got Naruto to Subscribe to Me,2023-05-20 20:00:00.000,00:00:20,Short,325007316,13393500,24638
K_CbgLpvH9E,I Spent 7 Days In Solitary Confinement,2023-12-30 17:00:03.000,00:20:16,Normal,297185311,5578585,86576
XE1Qyss8GIY,"Guess The Gift, Keep It",2024-04-09 17:00:00.000,00:00:46,Short,631047181,20031657,26389
bvlFjrcpD6s,I NEED 1 MORE 𝗦𝗨𝗕𝗦𝗖𝗥𝗜𝗕𝗘𝗥,2023-10-05 17:00:01.000,00:00:23,Short,599881105,31185897,84670
jGAJCAuV3pQ,World’s Most Expensive Coffee,2023-10-19 17:00:03.000,00:00:33,Short,288165141,11435381,29048
AZlBZuS4hr0,"Guess The Gift, Keep It",2023-10-03 17:00:00.000,00:00:45,Short,1054550012,26533403,24382
WTOm65IZneg,"1,000 Deaf People Hear For The First Time",2023-05-06 19:59:59.000,00:06:14,Normal,223297087,5548972,153822
IQxea9UB1nQ,"$100,000,000 Car Doors",2023-09-19 17:00:00.000,00:00:29,Short,1339259049,30154859,43552
SGzWIoLAzmY,"Feeding A Cat $10 Vs $10,000 Sushi",2023-08-31 17:00:00.000,00:00:31,Short,425068426,14322613,34120
stUofW3whpE,I Buried Treasure in the Bermuda Triangle,2023-07-06 17:00:01.000,00:00:53,Short,542150001,26299547,39713
"9RhWXPcKBI8","Survive 100 Days Trapped, Win $500,000",2023-12-16 17:00:01.000,00:27:08,Normal,461946172,6954261,99087
imhY0pe-Sd8,"Anything You Touch, You Keep!",2024-04-02 16:00:03.000,00:00:48,Short,321659680,11114195,17484
"6GzHPS0rEgc","I’m Giving My 250M Subscriber $25,000",2024-04-06 19:45:00.000,00:00:21,Short,351137375,10800846,60616
l9_8_pDTmis,"Furthest Away From Me Wins $10,000",2023-11-02 17:00:03.000,00:00:48,Short,745782274,22473668,41405
mKIhHNznt4s,Can You Beat A Girl In Arm Wrestling?,2023-08-17 17:00:00.000,00:00:52,Short,608354253,21505063,40858
ZVt9ZJfWV1c,"Feeding A Dog $1 vs $10,000 Steak",2023-12-14 18:00:00.000,00:00:27,Short,643999048,16173964,32490
ZKxnjszkZto,"Spot The Hidden People For $10,000",2024-05-08 16:00:01.000,00:00:35,Short,207085533,6472600,12542
erLbbextvlY,"7 Days Stranded On An Island",2024-03-30 16:00:01.000,00:22:26,Normal,504083908,7753656,152825
aZnqqXaT02g,Giving Car Keys Instead Of Candy On Halloween,2023-11-09 18:00:00.000,00:00:32,Short,448999410,11139070,15544
snUyLbGx6U4,"Buy Feastables, Win Unlimited Money",2024-04-30 16:00:00.000,00:00:51,Short,541655601,14180950,39181
